group_id;timestamp;paddockNames;lat;long;model_ref;Nmin [kg/ha];NO3-N [kg/ha];N total [%];P [mg/100g];K (beta) [mg/100g];Moisture [%];pH ;SOC [%];SOM [%];C/N Ratio ;Mg [mg/100g];Soil Temperature [øC];Air Temperature [øC];Humidity [%];Air Pressure [hPa];Volatile organic compounds [ohm];Soil texture class 
297-PGF-20230215-10-igub;2023-02-15T10:59:59.000Z;Kassow_107;53.8674469;12.0777738;6f10978b-3654-48fb-92fb-478b29e29c69;94;94;0,13;3,1;11,6;17,25;6,47;1,2;2,07;9,18;8,2;1,71;4,07;81,79;1024;432734;2
297-PGF-20230215-11-jmpb;2023-02-15T11:04:08.000Z;Kassow_107;53.8670047;12.0782041;6f10978b-3654-48fb-92fb-478b29e29c69;85;85;0,13;4,5;13,8;16,79;6,51;1,17;2,02;9,27;7,8;1,83;4,1;83,2;1024;428669;2
297-PGF-20230215-12-hllu;2023-02-15T11:08:22.000Z;Kassow_107;53.8671846;12.0778511;6f10978b-3654-48fb-92fb-478b29e29c69;45;45;0,13;6,1;14,8;17,38;7,05;1,3;2,24;9,67;9,1;2,1;4,13;84,07;1024;423925;3
297-PGF-20230215-13-fmnc;2023-02-15T11:11:30.000Z;Kassow_107;53.8674127;12.0774721;6f10978b-3654-48fb-92fb-478b29e29c69;75;75;0,12;3,1;12,2;16,99;6,64;1,19;2,06;9,69;7,5;1,82;4,02;84,06;1024;426208;2
297-PGF-20230215-14-ilzn;2023-02-15T11:18:14.000Z;Kassow_107;53.8675715;12.0771679;6f10978b-3654-48fb-92fb-478b29e29c69;85;85;0,1;4,4;11,7;16,26;6,35;1,2;2,06;11,78;7,9;1,74;4,07;83,88;1024;426430;2
297-PGF-20230215-15-myyt;2023-02-15T11:21:16.000Z;Kassow_107;53.867803;12.0767943;6f10978b-3654-48fb-92fb-478b29e29c69;92;92;0,12;4,7;12,7;16,86;6,6;1,18;2,03;9,77;6,2;1,81;4,1;84,12;1024;429469;2
297-PGF-20230215-16-abbj;2023-02-15T11:24:34.000Z;Kassow_107;53.8680235;12.0763938;6f10978b-3654-48fb-92fb-478b29e29c69;77;77;0,12;4,9;11,9;17,02;6,41;1,26;2,17;10,38;6,8;2,1;4,14;84,03;1024;436233;2
297-PGF-20230215-17-yyml;2023-02-15T11:27:54.000Z;Kassow_107;53.8682048;12.0758152;6f10978b-3654-48fb-92fb-478b29e29c69;80;80;0,11;3,9;11,8;16,55;6,58;1,07;1,85;9,66;6,9;2,03;4,1;84,78;1024;435160;2
297-PGF-20230215-18-mayd;2023-02-15T11:30:59.000Z;Kassow_107;53.8680169;12.0761673;6f10978b-3654-48fb-92fb-478b29e29c69;76;76;0,09;5,3;11;16,4;6,38;1,03;1,78;11,2;6,6;2,21;4,04;84,89;1024;438209;2
297-PGF-20230215-19-plfz;2023-02-15T11:34:16.000Z;Kassow_107;53.8677844;12.0765489;6f10978b-3654-48fb-92fb-478b29e29c69;71;71;0,13;5,1;13,1;16,37;6,61;1,15;1,99;8,9;6,4;2,38;4,17;84,86;1024;437387;2
297-PGF-20230215-20-eqck;2023-02-15T11:38:07.000Z;Kassow_107;53.8674727;12.0770586;6f10978b-3654-48fb-92fb-478b29e29c69;71;71;0,13;6,4;13,4;17,06;6,61;1,22;2,1;9,51;7;2,1;4,28;85,09;1024;434775;2
297-PGF-20230215-21-rlkr;2023-02-15T11:41:23.000Z;Kassow_107;53.867256;12.0774512;6f10978b-3654-48fb-92fb-478b29e29c69;53;53;0,12;7,6;13,9;17,15;7,09;1,23;2,12;10,38;7,4;2,33;4,4;84,48;1024;437941;4
297-PGF-20230215-22-ftqn;2023-02-15T11:45:54.000Z;Kassow_107;53.8670312;12.0777718;6f10978b-3654-48fb-92fb-478b29e29c69;50;50;0,13;7,9;14,3;18,06;7,12;1,37;2,36;10,21;8,9;2,46;4,41;84,66;1024;439224;3
297-PGF-20230215-23-scee;2023-02-15T11:49:39.000Z;Kassow_107;53.8665417;12.078109;6f10978b-3654-48fb-92fb-478b29e29c69;79;79;0,11;3,6;11,8;15,77;6,54;1,12;1,93;10,24;6,6;2,61;4,58;84,54;1024;437154;2
297-PGF-20230215-24-nsru;2023-02-15T11:53:11.000Z;Kassow_107;53.8668175;12.0776442;6f10978b-3654-48fb-92fb-478b29e29c69;72;72;0,09;4,8;11,2;15,31;6,36;1,08;1,86;11,71;6,4;2,46;4,66;84,81;1024;431229;2
297-PGF-20230215-25-nmwg;2023-02-15T11:56:27.000Z;Kassow_107;53.8670441;12.0772612;6f10978b-3654-48fb-92fb-478b29e29c69;80;80;0,13;4,2;13,4;17,28;6,69;1,21;2,09;9,36;7,3;2,61;4,83;83,98;1024;433241;2
297-PGF-20230215-26-kqry;2023-02-15T12:00:06.000Z;Kassow_107;53.8672901;12.0768574;6f10978b-3654-48fb-92fb-478b29e29c69;67;67;0,1;6,1;11,1;14,57;6,58;1,18;2,04;12;5,5;2,83;4,94;84,03;1024;427121;2
297-PGF-20230215-27-efwu;2023-02-15T12:03:16.000Z;Kassow_107;53.8675182;12.0764739;6f10978b-3654-48fb-92fb-478b29e29c69;82;82;0,12;6,2;12,8;16,02;6,41;1,15;1,98;10;9,2;2,76;4,94;83,93;1024;427167;2
297-PGF-20230215-28-knpi;2023-02-15T12:06:36.000Z;Kassow_107;53.8678433;12.0759256;6f10978b-3654-48fb-92fb-478b29e29c69;76;76;0,09;4,1;12;16,15;6,47;0,97;1,67;10,22;6,4;2,76;4,97;84,03;1024;422118;2
297-PGF-20230215-29-gbau;2023-02-15T12:23:47.000Z;Kassow_107;53.867964;12.0752732;6f10978b-3654-48fb-92fb-478b29e29c69;83;83;0,13;3,2;13,6;17,12;6,56;1,15;1,98;8,98;7,5;2,4;4,74;84,94;1023;430544;2
297-PGF-20230215-30-jrbg;2023-02-15T12:26:51.000Z;Kassow_107;53.8677912;12.0755803;6f10978b-3654-48fb-92fb-478b29e29c69;49;49;0,12;6,7;13,9;18,07;6,92;1,08;1,87;9,17;7,5;2,92;4,9;84,37;1023;427115;3
297-PGF-20230215-31-hzmo;2023-02-15T12:29:46.000Z;Kassow_107;53.8675137;12.0760847;6f10978b-3654-48fb-92fb-478b29e29c69;73;73;0,13;4,9;12,4;17,91;6,72;1,2;2,07;9,2;7,3;2,96;4,97;83,97;1023;432420;2
297-PGF-20230215-32-zxam;2023-02-15T12:33:12.000Z;Kassow_107;53.8672561;12.0765142;6f10978b-3654-48fb-92fb-478b29e29c69;87;87;0,12;4;11,1;16,48;6,59;1,15;1,98;9,67;6,4;3,03;4,97;83,91;1023;430040;2
297-PGF-20230215-33-ntki;2023-02-15T12:36:35.000Z;Kassow_107;53.8669458;12.0770409;6f10978b-3654-48fb-92fb-478b29e29c69;74;74;0,12;5,3;10,3;15,76;6,29;1,24;2,13;10,56;6,4;3,14;5,04;83,93;1023;421160;2
297-PGF-20230215-34-rawm;2023-02-15T12:40:03.000Z;Kassow_107;53.8666606;12.0775078;6f10978b-3654-48fb-92fb-478b29e29c69;81;81;0,1;6;10,6;15,81;6,44;1,29;2,22;12,62;6,5;3,01;5,02;83,97;1023;422171;2
297-PGF-20230215-35-bxyc;2023-02-15T12:44:15.000Z;Kassow_107;53.8663832;12.0776971;6f10978b-3654-48fb-92fb-478b29e29c69;76;76;0,1;4,4;13,5;15,29;6,58;1,13;1,95;10,87;6,8;3,13;5;83,78;1023;426506;2
297-PGF-20230215-36-anai;2023-02-15T12:48:03.000Z;Kassow_107;53.8667064;12.0771377;6f10978b-3654-48fb-92fb-478b29e29c69;78;78;0,12;5;11,3;15,89;6,39;1,17;2,02;9,89;6,6;3,04;5;83,89;1023;428982;2
297-PGF-20230215-37-ujbr;2023-02-15T12:52:46.000Z;Kassow_107;53.8670312;12.0765735;6f10978b-3654-48fb-92fb-478b29e29c69;45;45;0,13;7,5;13,1;18,09;7,04;1,27;2,19;9,56;9;3,06;5;83,68;1023;431602;3
297-PGF-20230215-38-uadc;2023-02-15T12:57:03.000Z;Kassow_107;53.8672616;12.0762162;6f10978b-3654-48fb-92fb-478b29e29c69;75;75;0,11;5,3;12,3;16,24;6,64;1,1;1,89;9,55;6,9;2,94;5,17;83,81;1023;422714;2
297-PGF-20230215-39-aihi;2023-02-15T13:00:17.000Z;Kassow_107;53.8675439;12.0757489;6f10978b-3654-48fb-92fb-478b29e29c69;73;73;0,12;4,8;12,2;16,29;6,55;1,14;1,97;9,87;7,6;3,1;5,36;83,16;1023;425928;2
297-PGF-20230215-41-ikaa;2023-02-15T13:07:45.000Z;Kassow_107;53.867674;12.0750265;6f10978b-3654-48fb-92fb-478b29e29c69;69;69;0,13;4,7;12,9;17,3;6,76;1,24;2,14;9,23;7,6;3,11;5,08;83,52;1023;427085;3
297-PGF-20230215-40-nleb;2023-02-15T13:03:24.000Z;Kassow_107;53.8677914;12.0753347;6f10978b-3654-48fb-92fb-478b29e29c69;43;43;0,12;6,6;14;17,9;7,04;1,1;1,9;9,03;7,2;3,04;5,17;83,23;1023;435745;3
297-PGF-20230215-42-pdqo;2023-02-15T13:11:27.000Z;Kassow_107;53.8674228;12.0754334;6f10978b-3654-48fb-92fb-478b29e29c69;76;76;0,12;3,3;11,9;16;6,71;1,03;1,77;8,85;7,4;3,19;5,13;83,6;1023;425217;2
297-PGF-20230215-43-ubbf;2023-02-15T13:14:26.000Z;Kassow_107;53.8671852;12.0758532;6f10978b-3654-48fb-92fb-478b29e29c69;74;74;0,12;4,2;11,4;16,48;6,4;1,29;2,22;10,51;6,8;3,19;5,07;83,73;1023;430181;2
297-PGF-20230215-44-pxcn;2023-02-15T13:18:44.000Z;Kassow_107;53.8667875;12.0765587;6f10978b-3654-48fb-92fb-478b29e29c69;48;48;0,14;8;15,5;18,79;7,05;1,32;2,28;9,6;10,6;3,26;5,21;83,76;1023;430914;4
297-PGF-20230215-45-zviw;2023-02-15T13:22:11.000Z;Kassow_107;53.8664515;12.077115;6f10978b-3654-48fb-92fb-478b29e29c69;77;77;0,12;5,7;12,6;16,01;6,61;1,31;2,26;11,08;7,4;3,14;5,38;83,11;1023;427629;2
297-PGF-20230215-46-sgmw;2023-02-15T13:25:46.000Z;Kassow_107;53.8662293;12.0773037;6f10978b-3654-48fb-92fb-478b29e29c69;82;82;0,11;5,3;12,3;15,19;6,52;1,08;1,87;10,21;6,7;2,88;5,3;83,19;1023;429605;2
297-PGF-20230215-47-mngf;2023-02-15T13:30:02.000Z;Kassow_107;53.8665254;12.0767161;6f10978b-3654-48fb-92fb-478b29e29c69;83;83;0,14;5,2;12,4;16,96;6,63;1,32;2,27;9,47;8,6;3,14;5,4;82,88;1023;437157;2
297-PGF-20230215-48-jlox;2023-02-15T13:33:38.000Z;Kassow_107;53.8667727;12.0762273;6f10978b-3654-48fb-92fb-478b29e29c69;41;41;0,1;6,7;16,9;18,51;7,13;1,21;2,09;12,68;11,2;3,44;5,41;82,47;1023;437055;4
297-PGF-20230215-49-viwh;2023-02-15T13:37:11.000Z;Kassow_107;53.8669984;12.0757867;6f10978b-3654-48fb-92fb-478b29e29c69;60;60;0,11;4,8;12;16,31;6,57;1,06;1,83;9,47;7,2;3,22;5,46;81,98;1023;441177;2
297-PGF-20230215-50-nvxu;2023-02-15T13:40:51.000Z;Kassow_107;53.8672086;12.0754283;6f10978b-3654-48fb-92fb-478b29e29c69;78;78;0,12;5,9;12;15,74;6,57;1,11;1,92;9,54;6,2;3,17;5,46;81,86;1023;441579;2
297-PGF-20230215-51-dyqw;2023-02-15T13:44:17.000Z;Kassow_107;53.8674168;12.0750664;6f10978b-3654-48fb-92fb-478b29e29c69;74;74;0,1;4;12,6;16,23;6,63;1,12;1,93;10,77;6,5;3,26;5,43;81,93;1023;439901;2
297-PGF-20230215-53-kife;2023-02-15T14:13:06.000Z;Kassow_107;53.8678679;12.0789521;6f10978b-3654-48fb-92fb-478b29e29c69;77;77;0,12;4;12,4;17,02;6,62;1,19;2,06;10,37;6,8;3,14;4,93;83,16;1022;437487;2
297-PGF-20230215-54-zmsi;2023-02-15T14:17:03.000Z;Kassow_107;53.8676186;12.0793824;6f10978b-3654-48fb-92fb-478b29e29c69;84;84;0,12;4,3;12;16,81;6,66;1,12;1,93;9,14;6,9;3,21;4,98;83,76;1022;433764;2
297-PGF-20230215-52-xrai;2023-02-15T14:09:09.000Z;Kassow_107;53.8681032;12.0785344;6f10978b-3654-48fb-92fb-478b29e29c69;78;78;0,11;4,9;12,4;16,66;6,4;1,26;2,17;11,88;6,3;3,39;5,04;82,99;1022;443386;2
297-PGF-20230215-55-vwwr;2023-02-15T14:20:51.000Z;Kassow_107;53.8674171;12.0797409;6f10978b-3654-48fb-92fb-478b29e29c69;85;85;0,13;3,8;11,2;16,67;6,58;1,15;1,98;8,99;7,2;3,21;4,99;83,28;1022;436019;2
297-PGF-20230215-56-qdit;2023-02-15T14:24:27.000Z;Kassow_107;53.8672342;12.0800658;6f10978b-3654-48fb-92fb-478b29e29c69;79;79;0,13;5,1;12,8;16,71;6,69;1,2;2,07;8,92;6,2;3,19;4,99;82,96;1023;437558;2
297-PGF-20230215-57-pdvm;2023-02-15T14:27:24.000Z;Kassow_107;53.8669972;12.0805021;6f10978b-3654-48fb-92fb-478b29e29c69;61;61;0,14;5,1;14,1;17,01;6,87;1,27;2,19;9,07;8,1;3,22;5,07;82,69;1022;439946;3
297-PGF-20230215-58-bjfd;2023-02-15T14:32:30.000Z;Kassow_107;53.867028;12.0811467;6f10978b-3654-48fb-92fb-478b29e29c69;79;79;0,12;4,2;12,4;16,35;6,63;1,18;2,03;9,56;6,4;3,28;5,1;83,12;1022;432659;2
297-PGF-20230215-59-ahsg;2023-02-15T14:36:01.000Z;Kassow_107;53.8672741;12.0807955;6f10978b-3654-48fb-92fb-478b29e29c69;77;77;0,1;5,1;10,7;15,14;6,48;1,14;1,97;11,34;6,1;3,4;5,16;83,26;1022;430531;2
297-PGF-20230215-60-sdbf;2023-02-15T14:39:10.000Z;Kassow_107;53.8675145;12.0803912;6f10978b-3654-48fb-92fb-478b29e29c69;75;75;0,12;4,6;10,5;16,65;6,59;1,1;1,9;9,35;6,9;3,44;5,17;82,78;1023;435028;2
297-PGF-20230215-61-zdkd;2023-02-15T14:42:33.000Z;Kassow_107;53.8677817;12.0799407;6f10978b-3654-48fb-92fb-478b29e29c69;67;67;0,14;5,3;12,6;17,81;6,72;1,21;2,08;8,86;7,2;3,33;5,1;82,48;1022;440199;2
297-PGF-20230215-62-bmrr;2023-02-15T14:45:55.000Z;Kassow_107;53.8680177;12.0795255;6f10978b-3654-48fb-92fb-478b29e29c69;73;73;0,12;4,5;13,1;17,16;6,54;1,15;1,98;9,68;6,9;3,46;5,17;82,53;1022;442851;2
297-PGF-20230215-63-qgyx;2023-02-15T14:49:37.000Z;Kassow_107;53.8683107;12.0790527;6f10978b-3654-48fb-92fb-478b29e29c69;66;66;0,1;4,9;11,8;15,64;6,51;1,11;1,91;10,81;6,2;3,49;5,2;82,69;1022;438894;2
297-PGF-20230215-65-sihj;2023-02-15T14:57:34.000Z;Kassow_107;53.8682574;12.0799008;6f10978b-3654-48fb-92fb-478b29e29c69;72;72;0,12;4,8;12,5;16,35;6,61;1,16;2;9,72;6,4;3,28;5,03;83,11;1023;442064;2
297-PGF-20230215-64-bitq;2023-02-15T14:53:29.000Z;Kassow_107;53.8685182;12.0794928;6f10978b-3654-48fb-92fb-478b29e29c69;75;75;0,11;2,7;10,9;16,54;6,52;0,96;1,66;8,59;7,7;3,35;5,13;82,51;1022;442799;2
297-PGF-20230215-66-tuvt;2023-02-15T15:01:34.000Z;Kassow_107;53.8680134;12.0803057;6f10978b-3654-48fb-92fb-478b29e29c69;76;76;0,12;5,3;12,7;15,52;6,65;1,04;1,79;8,55;6,7;3,28;4,9;83,78;1022;438141;2
297-PGF-20230215-67-hoyb;2023-02-15T15:04:58.000Z;Kassow_107;53.8677701;12.0807124;6f10978b-3654-48fb-92fb-478b29e29c69;97;97;0,09;4,6;10,5;15,32;6,45;1,07;1,85;11,89;6,1;3,29;4,89;84,09;1023;433714;2
297-PGF-20230215-68-xrmy;2023-02-15T15:08:38.000Z;Kassow_107;53.8674959;12.0811678;6f10978b-3654-48fb-92fb-478b29e29c69;64;64;0,14;4;14,8;17,2;6,87;1,14;1,96;8,01;8,4;3,35;4,9;83,92;1022;435996;2
297-PGF-20230215-69-jitx;2023-02-15T15:13:16.000Z;Kassow_107;53.8675106;12.0818691;6f10978b-3654-48fb-92fb-478b29e29c69;87;87;0,12;5,2;12,2;16,06;6,62;1,19;2,06;9,58;6,9;3,36;4,87;83,81;1022;432746;2
297-PGF-20230215-70-uesp;2023-02-15T15:16:34.000Z;Kassow_107;53.8677809;12.081424;6f10978b-3654-48fb-92fb-478b29e29c69;65;65;0,12;4,6;12;16,57;6,5;1,15;1,99;9,83;7,3;3,28;4,9;83,6;1022;436180;2
297-PGF-20230215-71-goux;2023-02-15T15:19:26.000Z;Kassow_107;53.8680346;12.0810247;6f10978b-3654-48fb-92fb-478b29e29c69;70;70;0,14;3,9;12,3;17,34;6,77;1,19;2,05;8,35;6,9;3,4;4,87;83,51;1022;435788;2
297-PGF-20230215-72-tjbi;2023-02-15T15:22:54.000Z;Kassow_107;53.8682903;12.0806018;6f10978b-3654-48fb-92fb-478b29e29c69;74;74;0,11;3,9;11;16,52;6,45;1,1;1,9;9,92;8,1;3,43;4,78;83,84;1022;434852;2
297-PGF-20230215-73-qfro;2023-02-15T15:26:33.000Z;Kassow_107;53.8685381;12.0801934;6f10978b-3654-48fb-92fb-478b29e29c69;86;86;0,11;3,7;11,2;16,05;6,67;1,05;1,81;9,22;6,2;3,46;4,9;84,06;1022;424183;2
297-PGF-20230215-74-nvlw;2023-02-15T15:29:55.000Z;Kassow_107;53.8687778;12.0797708;6f10978b-3654-48fb-92fb-478b29e29c69;83;83;0,1;5,8;10,6;15,54;6,25;1,16;2,01;11,31;7,2;3,43;4,9;84,07;1022;427101;2
297-PGF-20230215-75-ikvg;2023-02-15T15:32:51.000Z;Kassow_107;53.8689591;12.0801426;6f10978b-3654-48fb-92fb-478b29e29c69;78;78;0,1;4,4;10,2;16,02;6,44;1,05;1,82;10,2;7;3,46;4,81;84,28;1022;431993;2
297-PGF-20230215-76-dmmz;2023-02-15T15:36:17.000Z;Kassow_107;53.8686954;12.0805202;6f10978b-3654-48fb-92fb-478b29e29c69;77;77;0,13;3,8;12,7;17,25;6,54;1,27;2,19;9,65;7,2;3,31;4,73;84,52;1022;431734;2
297-PGF-20230215-78-xxew;2023-02-15T15:42:20.000Z;Kassow_107;53.8681896;12.0813552;6f10978b-3654-48fb-92fb-478b29e29c69;74;74;0,13;2,2;12,8;16,89;6,62;1,12;1,93;8,67;7,5;3,38;4,77;84,36;1022;430451;2
297-PGF-20230215-77-xmri;2023-02-15T15:39:18.000Z;Kassow_107;53.8684557;12.0809506;6f10978b-3654-48fb-92fb-478b29e29c69;85;85;0,12;3;12,5;16,63;6,58;1,03;1,77;8,61;7,4;3,33;4,78;84,56;1022;426394;2
297-PGF-20230215-80-hlha;2023-02-15T15:49:17.000Z;Kassow_107;53.867691;12.0821766;6f10978b-3654-48fb-92fb-478b29e29c69;84;84;0,12;5,8;11,1;15,63;6,54;1,1;1,9;9,43;6;3,4;4,66;84,56;1022;434009;2
297-PGF-20230215-79-enel;2023-02-15T15:46:10.000Z;Kassow_107;53.8679503;12.0817317;6f10978b-3654-48fb-92fb-478b29e29c69;70;70;0,11;4,2;10,8;15,2;6,46;1,21;2,08;11,38;6,8;3,46;4,7;84,59;1022;426708;2
297-PGF-20230215-81-pmnk;2023-02-15T15:52:00.000Z;Kassow_107;53.8679215;12.0825936;6f10978b-3654-48fb-92fb-478b29e29c69;79;79;0,11;3,8;11;16,18;6,52;1,07;1,85;9,54;7,8;3,31;4,6;84,54;1022;440801;2
297-PGF-20230215-82-qjlb;2023-02-15T15:55:55.000Z;Kassow_107;53.8681529;12.0822069;6f10978b-3654-48fb-92fb-478b29e29c69;87;87;0,12;3,3;11,7;16,37;6,63;1,03;1,78;8,43;8;3,44;4,59;84,57;1022;440354;2
297-PGF-20230215-83-dtee;2023-02-15T16:00:27.000Z;Kassow_107;53.8684092;12.0817982;6f10978b-3654-48fb-92fb-478b29e29c69;87;87;0,11;6,1;10,8;15,45;6,38;1,12;1,93;9,76;7,6;3,56;4,56;84,69;1022;437691;2
297-PGF-20230215-86-gyru;2023-02-15T16:10:58.000Z;Kassow_107;53.8690834;12.0806495;6f10978b-3654-48fb-92fb-478b29e29c69;87;87;0,12;4;11,6;16,62;6,61;1,22;2,1;10,41;7,6;3,26;4,5;84,87;1022;438428;2
297-PGF-20230215-84-kumc;2023-02-15T16:05:10.000Z;Kassow_107;53.8686432;12.0813942;6f10978b-3654-48fb-92fb-478b29e29c69;80;80;0,1;4,6;11;15,46;6,41;1,1;1,9;11,24;7;3,35;4,51;84,74;1022;437749;2
297-PGF-20230215-85-xnnm;2023-02-15T16:08:05.000Z;Kassow_107;53.8688952;12.0809847;6f10978b-3654-48fb-92fb-478b29e29c69;83;83;0,14;3,7;10,7;16,76;6,61;1,13;1,95;8,27;7,6;3,26;4,46;85,02;1022;442443;2
297-PGF-20230303-1-lwtw;2023-03-03T09:49:46.000Z;Kassow_107;53.8676057;12.0747732;6f10978b-3654-48fb-92fb-478b29e29c69;50;50;0,15;9,2;11,5;17,11;6,56;1,69;2,91;11,45;7,6;3,4;10,04;57,37;1020;421061;2
297-PGF-20230303-2-zghj;2023-03-03T09:58:23.000Z;Kassow_107;53.8673785;12.0752552;6f10978b-3654-48fb-92fb-478b29e29c69;59;59;0,17;7,1;12,3;19,04;6,66;1,44;2,48;8,69;11,1;2,39;6,84;67,29;1020;443474;2
297-PGF-20230303-3-lxtw;2023-03-03T10:02:22.000Z;Kassow_107;53.8671056;12.0757923;6f10978b-3654-48fb-92fb-478b29e29c69;58;58;0,14;6,1;10,4;17,31;6,56;1,36;2,34;9,91;8,8;2,24;5,34;72,79;1021;451451;2
297-PGF-20230303-4-hzle;2023-03-03T10:05:32.000Z;Kassow_107;53.8668405;12.0763551;6f10978b-3654-48fb-92fb-478b29e29c69;29;23;0,15;10,4;14,2;20,04;7,16;1,5;2,58;10,23;10,3;2,13;5,07;74,03;1020;465107;4
297-PGF-20230303-5-edrp;2023-03-03T10:09:08.000Z;Kassow_107;53.8665914;12.076948;6f10978b-3654-48fb-92fb-478b29e29c69;62;62;0,12;8,4;12,5;16,36;6,5;1,22;2,11;10,07;9,4;2,39;5,07;75,01;1020;467429;2
297-PGF-20230303-6-ejsb;2023-03-03T10:13:03.000Z;Kassow_107;53.8664387;12.0776878;6f10978b-3654-48fb-92fb-478b29e29c69;80;80;0,11;6,9;10,3;15,21;6,24;1,33;2,3;11,62;7,7;2,33;4,79;75,42;1020;481366;2
297-PGF-20230303-7-gecg;2023-03-03T10:17:18.000Z;Kassow_107;53.8666196;12.0776163;6f10978b-3654-48fb-92fb-478b29e29c69;85;85;0,13;7,5;11,4;16,93;6,42;1,33;2,29;9,89;8,4;2,35;4,6;76,71;1020;488070;2
297-PGF-20230303-8-nszp;2023-03-03T10:20:13.000Z;Kassow_107;53.8669159;12.0771577;6f10978b-3654-48fb-92fb-478b29e29c69;81;81;0,12;5,9;10,2;16,22;6,12;1,46;2,51;12,24;8,4;2,35;4,37;77,31;1021;495119;2
